Nama Perusahaan/Nama Pengusaha,Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick
 Raside Kontruksi,Jasa Konstruksi,"174,25",465,5,2014,"['_pengusahadetail(""?pm=oZHE1jR8+vPOyE4CXi3j5A==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Raside Kontruksi"")']"
 PG. Marjo Genteng,Pembuatan Genteng,14.450.000,"41,4",0,2011,"['_pengusahadetail(""?pm=9Q4zFZtpvtAKw7Adq7WIdw==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""PG. Marjo Genteng"")']"
 Saiful Huda,Genteng Semen,"15,8",50,2,2009,"['_pengusahadetail(""?pm=R0kZuiVvNPVtI0ox5KcUbQ==&mp=2BbfzMJpZb2nANZ3GT30ng=="",""Saiful Huda"")']"
 Bintang Karya Beton,.,262,535,4,2012,"['_pengusahadetail(""?pm=ZtWXukN18WXY9oRXlwktvQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Bintang Karya Beton"")']"
" Paving Dan Batako "" Pak Basri """,Pembuatan Batako,31.000.000,81,3,2011,"['_pengusahadetail(""?pm=UH6iukfv8yEBQvSYmHUynQ==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Paving Dan Batako "" Pak Basri """")']"
 Industri Batu Bata,Industri Batu Bata,71.300.000,72,2,2011,"['_pengusahadetail(""?pm=oljLic2xa+yUxav0yDvYxQ==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Industri Batu Bata"")']"
 Usaha Mebel Bp. Tujino,Mebel,26.200.000,180,2,2011,"['_pengusahadetail(""?pm=ns3ZuhGczDmgbMbzfUtL1A==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Usaha Mebel Bp. Tujino"")']"
 Mebel Jito,Mebel,78.000.000,410,3,2011,"['_pengusahadetail(""?pm=yvvcAJvg7i0aTb54TFK70g==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Mebel Jito"")']"
 ATM Mebel,Bangunan,440,180,8,2009,"['_pengusahadetail(""?pm=2Tw/IcogEQy+cJZEgoCcEw==&mp=2BbfzMJpZb2nANZ3GT30ng=="",""ATM Mebel"")']"
 Bata Bolong Jumiron,Pembuatan Bata Bolong,46,96,3,2009,"['_pengusahadetail(""?pm=yWMbbDHDlYV+ws/dY78MZw==&mp=2BbfzMJpZb2nANZ3GT30ng=="",""Bata Bolong Jumiron"")']"
 Aam Bata,Pembuatan Bata Bolong,37,102,6,2009,"['_pengusahadetail(""?pm=nTYbXl9BaZFfIB9TXeRq9w==&mp=2BbfzMJpZb2nANZ3GT30ng=="",""Aam Bata"")']"
 Barokah,Jasa Pemasangan Plafon,235,89,5,2012,"['_pengusahadetail(""?pm=9TbZKN/HWyxbBZ0aRKM0zQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Barokah"")']"
 UD. Ridho,Jual Bahan Bangunan,516,255,6,2011,"['_pengusahadetail(""?pm=EMlHoz9Ne2HNRzfkFPZ/+Q==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""UD. Ridho"")']"
