Nama Perusahaan/Nama Pengusaha,Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick
 Depot Air Minum Samuel,Depot Air Minum,635,348,2,2012,"['_pengusahadetail(""?pm=U8qtIEp1oxdo3qPQ4hr08g==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Depot Air Minum Samuel"")']"
 Foto Copy Kencana Mulia,Foto Copy,582,66,3,2012,"['_pengusahadetail(""?pm=BPP4H5flZTkJlSlqstHqyg==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Foto Copy Kencana Mulia"")']"
 Muhammad Ali Makmur,Keripik Pisang,75,283,5,2012,"['_pengusahadetail(""?pm=rFb9ZcNmrqz+JFi7bSHF/g==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Muhammad Ali Makmur"")']"
 Ukhsinun,Pembuatan Sangkar Burung,62,54,3,2009,"['_pengusahadetail(""?pm=khOYb9P4vNoC3ISc2kyxEQ==&mp=2BbfzMJpZb2nANZ3GT30ng=="",""Ukhsinun"")']"
 Caping,Coping,79,52,6,2009,"['_pengusahadetail(""?pm=Ze4RxmjrnXrR6Uf5hM8KtA==&mp=2BbfzMJpZb2nANZ3GT30ng=="",""Caping"")']"
 Siti Sangadah,Bata,24,79,6,2009,"['_pengusahadetail(""?pm=MdUw9vJXCW/MzvsLIVtLkQ==&mp=2BbfzMJpZb2nANZ3GT30ng=="",""Siti Sangadah"")']"
 Caping,Caping,66,80,4,2009,"['_pengusahadetail(""?pm=nHjoUVXpE5kxQ2QnDSvvFQ==&mp=2BbfzMJpZb2nANZ3GT30ng=="",""Caping"")']"
 Adi Jaya Konveksi,Topi,127,68,4,2009,"['_pengusahadetail(""?pm=0NMdhorKtsa3f9+SN++ZQw==&mp=2BbfzMJpZb2nANZ3GT30ng=="",""Adi Jaya Konveksi"")']"
 Sani,Percetakan,"128,5",285,1,2008,"['_pengusahadetail(""?pm=D9ztW2yUemdXc8/s64kVCA==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Sani"")']"
 Ratna Bunga,Manik,139.100.000,24.600.000,1,2013,"['_pengusahadetail(""?pm=z3rBG7RpiFrWETNQ1gifxA==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Ratna Bunga"")']"
 Andi Nurhayati,Tenun,164.200.000,59.000.000,1,2013,"['_pengusahadetail(""?pm=+Ue5dDFchIsQhg+e3VFbXA==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Andi Nurhayati"")']"
 Srimarsida,Tenun,116.950.000,52.000.000,1,2013,"['_pengusahadetail(""?pm=InCul0835rm6//zQusdC7w==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Srimarsida"")']"
 Sitti Paisa,Tenun,99.700.000,52.000.000,1,2013,"['_pengusahadetail(""?pm=n4Bvy9ELgvThffJhXZchxw==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Sitti Paisa"")']"
 Marwiyah,Tenun,127.650.000,45.600.000,1,2013,"['_pengusahadetail(""?pm=PWIzN6Q4jIOa4mzGe2NZCg==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Marwiyah"")']"
 Mulyana,Tenuninda,152.300.000,42.300.000,2,2013,"['_pengusahadetail(""?pm=pLV6HYfFf6wpbp3+DD+zqQ==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Mulyana"")']"
 Jumiati,Tenun,100.800.000,85.000.000,1,2013,"['_pengusahadetail(""?pm=iXKzUOu90UBTj3ppdrqZhg==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Jumiati"")']"
 Hernawati,Tenun,109.400.000,29.500.000,1,2013,"['_pengusahadetail(""?pm=UEfFS9LQSCR3XGJMiREovQ==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Hernawati"")']"
 Andi Risma,Manik,147.860.000,41.700.000,1,2013,"['_pengusahadetail(""?pm=oo5YCCn4IYhwkmZMxuX9Bg==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Andi Risma"")']"
 Erni Susanti,Tenun,132.000.000,45.600.000,1,2013,"['_pengusahadetail(""?pm=vE8hxyaz95uBgkF82aZM4g==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Erni Susanti"")']"
 Murni,Tenun,144.000.000,29.500.000,1,2013,"['_pengusahadetail(""?pm=Ndjf0He2Jb923MPOxJezqA==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Murni"")']"
 Inaga,Tenun,220.310.000,44.920.000,1,2913,"['_pengusahadetail(""?pm=hlnb6EX7WqhnsLHWb2XUdQ==&mp=WvU08jXGlSR1DPaNMExNaw=="",""Inaga"")']"
 Masniati,Tenun,135.520.000,33.800.000,3,2013,"['_pengusahadetail(""?pm=Rx/FxAweGphdaOUiD5yLoQ==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Masniati"")']"
 Badaruddin,Tenun,168.550.000,56.100.000,3,2013,"['_pengusahadetail(""?pm=B3NauppFZFSyqkzU7A9LnA==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Badaruddin"")']"
 Suriani,Manik,171.900.000,45.300.000,1,2013,"['_pengusahadetail(""?pm=yn83MYAmTcjI2tV8wzIf/A==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Suriani"")']"
 Bung Rosi,Tenun,159.800.000,66.000.000,3,2013,"['_pengusahadetail(""?pm=+rmh2VjIEIMmSMPiqQQQcg==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Bung Rosi"")']"
 Rahma,Tenun,128.700.000,29.500.000,1,2013,"['_pengusahadetail(""?pm=ROqxGAI8E2lWPEpq9VvIXA==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Rahma"")']"
 Anirah,TENUN,109.700.000,66.000.000,1,2013,"['_pengusahadetail(""?pm=B4vOqktcDVqar3hCauhZOQ==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Anirah"")']"
 Basnawati,Manik,83.550.000,29.400.000,1,2013,"['_pengusahadetail(""?pm=0ZtUU42Qwhj+Y7dcMD6uaA==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Basnawati"")']"
 Fetty,Manik,15.375.000,43.400.000,1,2013,"['_pengusahadetail(""?pm=eFXIVOGG53lb6nwCz5g4WA==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Fetty"")']"
 Duha,Manik,150.085.000,29.220.000,1,2013,"['_pengusahadetail(""?pm=//+VVirvaWpZPOjjl2ig4w==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Duha"")']"
 Samsinar,Manik,89.740.000,26.800.000,1,2013,"['_pengusahadetail(""?pm=OIg77vKJCcCySAyrpVNUQw==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Samsinar"")']"
 Sitti,Manik,107.000.000,22.800.000,1,2013,"['_pengusahadetail(""?pm=2iq/Mig1HT7BJqXKWJ0IMw==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Sitti"")']"
 Vivi Sarniah,Manik,8.500.000,25.200.000,1,2013,"['_pengusahadetail(""?pm=wJGK4G2i1xqBjRq9jdRmtQ==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Vivi Sarniah"")']"
 Mas Duha,Manik,100.000.000,24.400.000,1,2013,"['_pengusahadetail(""?pm=GQ+ioRPZrK03C/4mF6uelA==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Mas Duha"")']"
 Harimah,Tenun,151.930.000,47.600.000,3,2013,"['_pengusahadetail(""?pm=0XKXjaZh1aHXsQk6bdL40w==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Harimah"")']"
 Rafika,Tenun,178.250.000,45.200.000,1,2013,"['_pengusahadetail(""?pm=IVNMLXPj+oocJ5pazGc0UQ==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Rafika"")']"
 JAWARIAH,Tenun,156.000.000,47.400.000,1,2013,"['_pengusahadetail(""?pm=/TOvOWQ7aZLSI6hXfmnHSQ==&mp=fOhzApotY5QnAtxxXvjAfA=="",""JAWARIAH"")']"
 Sumarni,Tenun,160.200.000,29.100.000,1,2013,"['_pengusahadetail(""?pm=eliy3vHw2kC9FlOkcwWMJw==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Sumarni"")']"
