Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick,Sektor,Nama Badan Hukum,Jumlah Tenaga Kerja,Sistem Penjualan,Target Pasar Utama : Produk Masal,Target Pasar Utama : Produk Spesifik,Tingkat Pesaing Usaha,Total Aset,Penjualan Rata-Rata per Tahun,Proyeksi Pertumbuhan Penjualan,Kebutuhan Pembiayaan Kredit ,Nilai Aset yang data menjadi jaminan kredit,Jumlah Dokumen Persyaratan Kredit
Jasa Konstruksi,"174,25",465,5,2014,?pm=oZHE1jR8+vPOyE4CXi3j5A==&mp=xI6rAeQkygTAn3Z625IGLg==,Konstruksi,Perorangan,5,Retail dan Distributor,"Memenuhi Order Dari Distributor/Eksportir/Trader   50,00 %","Memenuhi Order Dari Distributor/Eksportir/Trader   50,00 %",Tinggi,"Rp. 174,25 Juta","Rp. 465,00 Juta",- %/Tahun,"Rp. 10,00 Juta","Rp. 147,00 Juta",4
Pembuatan Genteng,14.450.000,"41,4",0,2011,?pm=9Q4zFZtpvtAKw7Adq7WIdw==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Konstruksi,Perorangan,0,Retail dan Distributor,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 14.450.000,00 Juta","Rp. 41,40 Juta",15 %/Tahun,"Rp. 7,00 Juta","Rp. 8,00 Juta",3
Genteng Semen,"15,8",50,2,2009,?pm=R0kZuiVvNPVtI0ox5KcUbQ==&mp=2BbfzMJpZb2nANZ3GT30ng==,Konstruksi,Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %",Sedang,"Rp. 15,80 Juta","Rp. 50,00 Juta",25 %/Tahun,"Rp. 4,90 Juta","Rp. 0,00 Juta",3
.,262,535,4,2012,?pm=ZtWXukN18WXY9oRXlwktvQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Konstruksi,Perorangan,4,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   70,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   30,00 %",Sedang,"Rp. 262,00 Juta","Rp. 535,00 Juta",15 %/Tahun,"Rp. 0,00 Juta","Rp. 0,00 Juta",5
Pembuatan Batako,31.000.000,81,3,2011,?pm=UH6iukfv8yEBQvSYmHUynQ==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Konstruksi,Perorangan,3,Retail dan Distributor,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   80,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   20,00 %",Sedang,"Rp. 31.000.000,00 Juta","Rp. 81,00 Juta",25 %/Tahun,"Rp. 5,00 Juta","Rp. 86,00 Juta",6
Industri Batu Bata,71.300.000,72,2,2011,?pm=oljLic2xa+yUxav0yDvYxQ==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Konstruksi,Perorangan,2,Retail dan Distributor,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   50,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   50,00 %",Tinggi,"Rp. 71.300.000,00 Juta","Rp. 72,00 Juta",50 %/Tahun,"Rp. 10,00 Juta","Rp. 80,00 Juta",7
Mebel,26.200.000,180,2,2011,?pm=ns3ZuhGczDmgbMbzfUtL1A==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Konstruksi,Perorangan,2,Retail,"Tidak Ada   0,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %",Tinggi,"Rp. 26.200.000,00 Juta","Rp. 180,00 Juta",5 %/Tahun,"Rp. 5,00 Juta","Rp. 7,00 Juta",5
Mebel,78.000.000,410,3,2011,?pm=yvvcAJvg7i0aTb54TFK70g==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Konstruksi,Perorangan,3,Distributor,"Tidak Ada   0,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %",Rendah,"Rp. 78.000.000,00 Juta","Rp. 410,00 Juta",20 %/Tahun,"Rp. 10,00 Juta","Rp. 32,00 Juta",7
Bangunan,440,180,8,2009,?pm=2Tw/IcogEQy+cJZEgoCcEw==&mp=2BbfzMJpZb2nANZ3GT30ng==,Konstruksi,Perorangan,8,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   50,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   50,00 %",Sedang,"Rp. 440,00 Juta","Rp. 180,00 Juta",50 %/Tahun,"Rp. 8,00 Juta","Rp. 20,00 Juta",8
Pembuatan Bata Bolong,46,96,3,2009,?pm=yWMbbDHDlYV+ws/dY78MZw==&mp=2BbfzMJpZb2nANZ3GT30ng==,Konstruksi,Perorangan,3,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   40,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   60,00 %",Sedang,"Rp. 46,00 Juta","Rp. 96,00 Juta",30 %/Tahun,"Rp. 7,20 Juta","Rp. 25,00 Juta",4
Pembuatan Bata Bolong,37,102,6,2009,?pm=nTYbXl9BaZFfIB9TXeRq9w==&mp=2BbfzMJpZb2nANZ3GT30ng==,Konstruksi,Perorangan,6,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   70,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   30,00 %",Tinggi,"Rp. 37,00 Juta","Rp. 102,00 Juta",30 %/Tahun,"Rp. 8,00 Juta","Rp. 15,00 Juta",5
Jasa Pemasangan Plafon,235,89,5,2012,?pm=9TbZKN/HWyxbBZ0aRKM0zQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Konstruksi,Perorangan,5,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Rendah,"Rp. 235,00 Juta","Rp. 89,00 Juta",40 %/Tahun,"Rp. 10,00 Juta","Rp. 95,00 Juta",7
Jual Bahan Bangunan,516,255,6,2011,?pm=EMlHoz9Ne2HNRzfkFPZ/+Q==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Konstruksi,Usaha Dagang (UD),6,Retail dan Distributor,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   70,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   30,00 %",Sedang,"Rp. 516,00 Juta","Rp. 255,00 Juta",40 %/Tahun,"Rp. 0,00 Juta","Rp. 1.700,00 Juta",6
