Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick,Sektor,Nama Badan Hukum,Jumlah Tenaga Kerja,Sistem Penjualan,Target Pasar Utama : Produk Masal,Target Pasar Utama : Produk Spesifik,Tingkat Pesaing Usaha,Total Aset,Penjualan Rata-Rata per Tahun,Proyeksi Pertumbuhan Penjualan,Kebutuhan Pembiayaan Kredit ,Nilai Aset yang data menjadi jaminan kredit,Jumlah Dokumen Persyaratan Kredit
Pembuatan Aksesoris,"37,2","6,5",1,2014,?pm=0kpU6PnrWiesZzGHuIu8+g==&mp=xI6rAeQkygTAn3Z625IGLg==,"Jasa Perorangan yg Melayani RT, Keg yg Menghasilkan Brg & Jasa oleh RT yg Digunakan Sendiri utk Memenuhi Kebutuhan",Perorangan,1,Retail,"Tidak Ada   0,00 %","Memenuhi Order Dari Distributor/Eksportir/Trader   100,00 %",Tinggi,"Rp. 37,20 Juta","Rp. 6,50 Juta",- %/Tahun,"Rp. 5,00 Juta","Rp. 35,00 Juta",3
Menjahit,"9,05",8,1,2014,?pm=xOm7YrHM6At9hfDY2/X11A==&mp=xI6rAeQkygTAn3Z625IGLg==,"Jasa Perorangan yg Melayani RT, Keg yg Menghasilkan Brg & Jasa oleh RT yg Digunakan Sendiri utk Memenuhi Kebutuhan",Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50,00 %",Tinggi,"Rp. 9,05 Juta","Rp. 8,00 Juta",- %/Tahun,"Rp. 5,00 Juta","Rp. 9,50 Juta",2
Isi Ulang Air Minum,"24,64",30,2,2014,?pm=l5fqws/f0a54OYgMloxguA==&mp=xI6rAeQkygTAn3Z625IGLg==,"Jasa Perorangan yg Melayani RT, Keg yg Menghasilkan Brg & Jasa oleh RT yg Digunakan Sendiri utk Memenuhi Kebutuhan",Perorangan,2,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 24,64 Juta","Rp. 30,00 Juta",- %/Tahun,"Rp. 1,00 Juta","Rp. 4,00 Juta",3
Jasa Laundry,"50,55",54,2,2014,?pm=wgcQR+2xxI76/MpVh9pyfA==&mp=xI6rAeQkygTAn3Z625IGLg==,"Jasa Perorangan yg Melayani RT, Keg yg Menghasilkan Brg & Jasa oleh RT yg Digunakan Sendiri utk Memenuhi Kebutuhan",Perorangan,2,Retail,"Tidak Ada   0,00 %","Memenuhi Order Dari Distributor/Eksportir/Trader   100,00 %",Sedang,"Rp. 50,55 Juta","Rp. 54,00 Juta",- %/Tahun,"Rp. 10,00 Juta","Rp. 14,00 Juta",3
Penjualan Sembako,"57,25",30,1,2014,?pm=kAEQ7OajG4r5CtHBCjQK/Q==&mp=xI6rAeQkygTAn3Z625IGLg==,"Jasa Perorangan yg Melayani RT, Keg yg Menghasilkan Brg & Jasa oleh RT yg Digunakan Sendiri utk Memenuhi Kebutuhan",Usaha Dagang (UD),1,Retail,"Memenuhi Order Dari Distributor/Eksportir/Trader   80,00 %","Memenuhi Order Dari Distributor/Eksportir/Trader   20,00 %",Sedang,"Rp. 57,25 Juta","Rp. 30,00 Juta",- %/Tahun,"Rp. 10,00 Juta","Rp. 50,00 Juta",3
Produksi Aksesoris,9,9,2,2014,?pm=jF/HetbbjrwxNoRu7IIlEQ==&mp=xI6rAeQkygTAn3Z625IGLg==,"Jasa Perorangan yg Melayani RT, Keg yg Menghasilkan Brg & Jasa oleh RT yg Digunakan Sendiri utk Memenuhi Kebutuhan",Perorangan,2,Retail,"Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Sedang,"Rp. 9,00 Juta","Rp. 9,00 Juta",- %/Tahun,"Rp. 5,00 Juta","Rp. 1.265,50 Juta",4
Pembuatan Es Batu,"39,4",144,2,2014,?pm=HpHiYp3O4ZB6fxLK4/iMHw==&mp=xI6rAeQkygTAn3Z625IGLg==,"Jasa Perorangan yg Melayani RT, Keg yg Menghasilkan Brg & Jasa oleh RT yg Digunakan Sendiri utk Memenuhi Kebutuhan",Perorangan,2,Retail,"Memenuhi Order Dari Distributor/Eksportir/Trader   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 39,40 Juta","Rp. 144,00 Juta",- %/Tahun,"Rp. 5,00 Juta","Rp. 30,00 Juta",3
Sablon Dan Stempel,65,60,9,2014,?pm=dYRfMWWCtp92fBgRPsQBMg==&mp=xI6rAeQkygTAn3Z625IGLg==,"Jasa Perorangan yg Melayani RT, Keg yg Menghasilkan Brg & Jasa oleh RT yg Digunakan Sendiri utk Memenuhi Kebutuhan",Perorangan,9,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50,00 %",Sedang,"Rp. 65,00 Juta","Rp. 60,00 Juta",- %/Tahun,"Rp. 5,00 Juta","Rp. 18,60 Juta",3
Roti,"13,1",15,2,2014,?pm=W0ZMHPtQjBGI6FMd01naLA==&mp=xI6rAeQkygTAn3Z625IGLg==,"Jasa Perorangan yg Melayani RT, Keg yg Menghasilkan Brg & Jasa oleh RT yg Digunakan Sendiri utk Memenuhi Kebutuhan",Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 13,10 Juta","Rp. 15,00 Juta",- %/Tahun,"Rp. 5,00 Juta","Rp. 0,01 Juta",2
Catring,"74,05",80,2,2014,?pm=8wM4ROekrwABNSV8Y7DGAQ==&mp=xI6rAeQkygTAn3Z625IGLg==,"Jasa Perorangan yg Melayani RT, Keg yg Menghasilkan Brg & Jasa oleh RT yg Digunakan Sendiri utk Memenuhi Kebutuhan",Perorangan,2,Retail,"Memenuhi Order Dari Distributor/Eksportir/Trader   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 74,05 Juta","Rp. 80,00 Juta",- %/Tahun,"Rp. 5,00 Juta","Rp. 50,00 Juta",3
