Nama Perusahaan/Nama Pengusaha,Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick
 Planet Game,Rental,19,108,3,2013,"['_pengusahadetail(""?pm=8Yob9An0UV+iUKUzWZSxww==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Planet Game"")']"
 FOTO STUDIO IDOLA,FOTO DIGITAL,"54,6",83,2,2011,"['_pengusahadetail(""?pm=d+9fJPDxZDyLGJu0pdYOhQ==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""FOTO STUDIO IDOLA"")']"
 Pedagang Kerajinan Khairman,Pedagang Kerajinan,138,30,1,2012,"['_pengusahadetail(""?pm=Iu8wjvi6TMTyaxYQZp8W9w==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Pedagang Kerajinan Khairman"")']"
 Production House Basyarudin,Production House,460,480,3,2011,"['_pengusahadetail(""?pm=kUB8fG7NVYN99Yyfm5kBqg==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Production House Basyarudin"")']"
 Aak PS,PS,"59,5",37,0,2011,"['_pengusahadetail(""?pm=+pympYWjvBaBgL6qfNbfVA==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Aak PS"")']"
 Toko American Star,Kerajinan Khas Kalimantan,855,120,5,2014,"['_pengusahadetail(""?pm=vjyhYkYx3JSEpS7LjCP6HQ==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Toko American Star"")']"
 Den Mas Joyo,Rental PS,38,90,5,2012,"['_pengusahadetail(""?pm=P98STvTxw5Xnd12QQ7aRBA==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Den Mas Joyo"")']"
 Zahra Gallery,Galeri,"12,5",60,0,2012,"['_pengusahadetail(""?pm=8OGPo5PJOhdIvlWCr1pF8w==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Zahra Gallery"")']"
 Taman Sakura Garden,Taman,169,0,2,2012,"['_pengusahadetail(""?pm=IaKjoVRTLQMHrIu/Np4vWQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Taman Sakura Garden"")']"
 Akrilic ,Kerajinan,5,"10,91",3,2015,"['_pengusahadetail(""?pm=VlMxXBDUtNGIYGsX5cxTEQ==&mp=Q47xnX4Fmgxfelhgew2rrQ=="",""Akrilic "")']"
 Kurnia Musik,Organ Tunggal,"484,1",120,5,2014,"['_pengusahadetail(""?pm=QrFYhZ9y4y+5UBXn6zYl8w==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Kurnia Musik"")']"
