Nama Perusahaan/Nama Pengusaha,Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick
 Toko SMS,"Kostum Olahraga, Alat Olahraga",722,185,2,2012,"['_pengusahadetail(""?pm=+dnkBJjtZRw3gQK9HblQKw==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Toko SMS"")']"
 Toko Obat Buana Belawa,Jual Obat-obatan,480,249,2,2012,"['_pengusahadetail(""?pm=LUhZ/ZvW4M2m+O0qETpFIA==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Toko Obat Buana Belawa"")']"
 Star Motor,Bengkel Motor,546,60,1,2012,"['_pengusahadetail(""?pm=FKrMrf1fPlbyzb1GEuMeGA==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Star Motor"")']"
 Bengkel Nuri Jaya,Bengkel Mobil,959,345,2,2012,"['_pengusahadetail(""?pm=ocRUQ7up7WlbAhMCH/vxsA==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Bengkel Nuri Jaya"")']"
 Akmal Cell,Counter,162,48,1,2012,"['_pengusahadetail(""?pm=JNKZwd6SwSVlMb+jjJ/+Ng==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Akmal Cell"")']"
 Kios Wahyu,Kios,716,228,2,2012,"['_pengusahadetail(""?pm=ChERsdwxBFL1NMptjJ0WTQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Kios Wahyu"")']"
 KING GORDEN ,GORDEN ,"2.950,18",5.100,6,2011,"['_pengusahadetail(""?pm=EJGOnbQQaxjkxaYhFr3UVg==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""KING GORDEN "")']"
 KEDAI SIRAIT,KEDAI SAMPAH,"86,99","171,1",1,2011,"['_pengusahadetail(""?pm=s7fO6v09RphtVi0WMpmRvw==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""KEDAI SIRAIT"")']"
 ATENG RADIATOR,PERBAIKAN RADIATOR,"37,61",37,1,2011,"['_pengusahadetail(""?pm=FbEjIKeoGpjP8Uaym4o8XA==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""ATENG RADIATOR"")']"
 UD. Matuari,Dagang Sembako,745,900,7,2008,"['_pengusahadetail(""?pm=6NjHjM74rnyC6x1LvsoiDg==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""UD. Matuari"")']"
 Kios Umi Ria ,Kios Sembako ,67,199,3,2012,"['_pengusahadetail(""?pm=18Ra+p37koex18ssSxujmQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Kios Umi Ria "")']"
 Vira,Toserba,161.175.000,20.600.000,1,2013,"['_pengusahadetail(""?pm=a1TwIwjKOuQoLOGHjvKO/A==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Vira"")']"
 UD. Maju Jaya,Pengepul Barang Bekas,152,470,2,2012,"['_pengusahadetail(""?pm=xB3sN0/L2IZ8xZqH8ebrSw==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""UD. Maju Jaya"")']"
 Lisna Cell,Cellular,44,96,1,2011,"['_pengusahadetail(""?pm=AJKS3cEFI96xsNeEXcGuZA==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Lisna Cell"")']"
 Depot Isi Ulang Air Minum Aisyah,Depot Air Minum,"23,5",72,1,2011,"['_pengusahadetail(""?pm=2wIAdxgU7NXruuO5V8azXw==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Depot Isi Ulang Air Minum Aisyah"")']"
 Warung Pak Mukayat,Dagang Kelontongan,"14,5",216,1,2011,"['_pengusahadetail(""?pm=U2+gM6nKtke97z40OhSo8A==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Warung Pak Mukayat"")']"
 Warung Kelontongan,Dagang Kelontongan,"7,3",120,1,2011,"['_pengusahadetail(""?pm=X/j5ShAJvZFaoXW5sm1TCQ==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Warung Kelontongan"")']"
 Warung Simarmata,Warung Kelontongan Dan  Pulsa,35,240,1,2011,"['_pengusahadetail(""?pm=1pC3uKYgc2F3pDgevRbb2A==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Warung Simarmata"")']"
 Warung Aneka Jaya,Dagang Kelontongan,27,270,1,2011,"['_pengusahadetail(""?pm=3PSgPdYQURppXk7AGwG3ig==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Warung Aneka Jaya"")']"
 Warung Manisan,Jual Manisan,"63,5",26,2,2011,"['_pengusahadetail(""?pm=4lI0kODB075BAyFM6BoHkg==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Warung Manisan"")']"
 Toko Alat-alat Pertanian (suwarsih),Dagang Alat Pertanian,"46,5","148,8",2,2010,"['_pengusahadetail(""?pm=+oT6Kd49BcPf1KvVmNMFXw==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Toko Alat-alat Pertanian (suwarsih)"")']"
 Kios Jajanan Pasar,Dagang Jajanan Pasar,11,"118,8",1,2010,"['_pengusahadetail(""?pm=NCQS+ZgjIogup5HYhqzJUg==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Kios Jajanan Pasar"")']"
 Kios Dagang Pakaian (sutinah),Dagang Pakaian,87,156,1,2010,"['_pengusahadetail(""?pm=Pd+aaAsPN776Zr0zcsQyJg==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Kios Dagang Pakaian (sutinah)"")']"
 Toko Kelontongan (yuliani),Dagang Kelontongan,23,216,1,2010,"['_pengusahadetail(""?pm=hb8vec4ZzjU+ezu6Hi/3xw==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Toko Kelontongan (yuliani)"")']"
 Kios Buah (imam Masum),Dagang Buah,20,216,1,2010,"['_pengusahadetail(""?pm=xx4r6bwSocsvMcCYEKf9Qg==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Kios Buah (imam Masum)"")']"
 Toko Pakaian (simah),Dagang Pakain,38,177,1,2010,"['_pengusahadetail(""?pm=e8CcqBQ7gwLuSm2KekEQKQ==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Toko Pakaian (simah)"")']"
 Lapak Dagang Ayam (suwarni),Dagang Ayam,23,540,1,2010,"['_pengusahadetail(""?pm=2lxHSCN5AQ28QBGYHasOLg==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Lapak Dagang Ayam (suwarni)"")']"
 Kios Ayam Potong (Sunarti),Dagang Ayam Potong,"7,3",288,1,2010,"['_pengusahadetail(""?pm=XgaL1rPzPfDYl5MhUpwvHg==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Kios Ayam Potong (Sunarti)"")']"
 Toko Sembako (Yesita),Dagang Sembako,27,372,1,2010,"['_pengusahadetail(""?pm=8DNbJulRc6A5uJHCt8CBQQ==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Toko Sembako (Yesita)"")']"
 Toko Sepatu (Listika),Dagang Sepatu,"17,8",100,1,2010,"['_pengusahadetail(""?pm=2eVyC+ovQiGMst1jEESQ3g==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Toko Sepatu (Listika)"")']"
 Kios Buah (suhartatik),Dgang Buah,"9,5","82,5",1,2010,"['_pengusahadetail(""?pm=Rv+snbBqRwwOrVKa3Lwx1A==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Kios Buah (suhartatik)"")']"
 Kios Aksesoris Dan Mainan,Dagang Aksesoris Dan Mainan,10,105,1,2010,"['_pengusahadetail(""?pm=k+5noy3WqV48ZiZZRpNRFw==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Kios Aksesoris Dan Mainan"")']"
 Toko Amanah,Toko Sembako,119,960,1,2010,"['_pengusahadetail(""?pm=JoVl3MV+HvK4lMOrvPulSQ==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Toko Amanah"")']"
 Warung Pak Suratin,Warung Sembako,"57,5",294,2,2011,"['_pengusahadetail(""?pm=BS0/7P0nAQZ/bFQ09bOe/A==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Warung Pak Suratin"")']"
 Penjahit Safari Balikpapan,Penjahit,55,72,2,2013,"['_pengusahadetail(""?pm=+T+2z/UDq9x+KZ4yGez7Bg==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Penjahit Safari Balikpapan"")']"
 Toko Fandy,Toko,320,180,2,2013,"['_pengusahadetail(""?pm=knHAJisASl62UpOvjBL2uA==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Toko Fandy"")']"
 Rendy,Toko,130,420,3,2013,"['_pengusahadetail(""?pm=wiNbKt3UeHLL0iRQ9zQ2Og==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Rendy"")']"
 Vcd Dedi,Toko,12,173,1,2013,"['_pengusahadetail(""?pm=96fQt9znnXpvBujH6Prwyg==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Vcd Dedi"")']"
" Isi Ulang Air Mineral "" Opung """,Isi Ulang Air Galon,"283,5",144,2,2013,"['_pengusahadetail(""?pm=oxEZS0i5V2dwxRrFTrtYPA==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Isi Ulang Air Mineral "" Opung """")']"
 Toko Perlengkapan Rumah Tangga,Toko Perlengkapan Rumah Tangga,20,"174,2",1,2010,"['_pengusahadetail(""?pm=YNb4bjgK/zJoddwn4Y9N/w==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Toko Perlengkapan Rumah Tangga"")']"
 Century Cellular,Counter Handphone,78,780,1,2010,"['_pengusahadetail(""?pm=KG8BspIHFFmqnrzBUNPbPw==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Century Cellular"")']"
 Pondok Soto Khas Jawa Timur,Soto,25,312,2,2010,"['_pengusahadetail(""?pm=xPe+KhJR0C6h7ULU4BngrA==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Pondok Soto Khas Jawa Timur"")']"
 Toko Bu Wito,Toko Kelontong,391,360,1,2010,"['_pengusahadetail(""?pm=TmCQjhfqgSbvzonAKbsOLw==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Toko Bu Wito"")']"
 Toko AA ,Toko Kelontong,"61,5",450,1,2010,"['_pengusahadetail(""?pm=x8TbrF9ACQCY2EPH3jJxPg==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Toko AA "")']"
 Diamond Tailor,Jahit Dan Textile,"43,5",270,3,2010,"['_pengusahadetail(""?pm=ZPwvrb9NgdqM7q65j/247w==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Diamond Tailor"")']"
 Fadli Jok Motor,Reparasi Jok Motor,"16,5",108,1,2010,"['_pengusahadetail(""?pm=0pcs0m6lZMEaB/R2lRN4ig==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Fadli Jok Motor"")']"
 Bengkel Las Pakde Mamad,Bengkel Las Alumunium,"79,5",168,4,2010,"['_pengusahadetail(""?pm=ZKCDUrl75r65zsyakCqjDw==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Bengkel Las Pakde Mamad"")']"
 Bengkel Purba,Bengkel Ban,55,270,2,2010,"['_pengusahadetail(""?pm=FbcfH7yZoj2bbzSBhZREYg==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Bengkel Purba"")']"
 Toko Jamu Sidomuncul,Toko Jamu,"31,5",108,2,2010,"['_pengusahadetail(""?pm=MP7K2EtPOCzLtx/QBs2Y7w==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Toko Jamu Sidomuncul"")']"
 HAMDAN CELL,TRANSAKSI PULSA,2,63,1,2011,"['_pengusahadetail(""?pm=j4Dz1VZut4dYtn2uHf6CCA==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""HAMDAN CELL"")']"
 Sahabat Optima,Toko,23,180,2,2013,"['_pengusahadetail(""?pm=LvmwRqr5oaUdtuexZ8vlSA==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Sahabat Optima"")']"
 Nasi Pecel & Tahu Tektek Asli Jember,Warung Makan,"10,4",400,3,2013,"['_pengusahadetail(""?pm=Mb55eO7lMgHXwd9JNYGuGw==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Nasi Pecel & Tahu Tektek Asli Jember"")']"
 Warung Cokro,Toko,17,216,1,2013,"['_pengusahadetail(""?pm=HLyne6UWm6TEragXinOSOQ==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Warung Cokro"")']"
 AG Fotocopy,Fotocopy,"59,25",144,1,2010,"['_pengusahadetail(""?pm=gE/5+cJIob7Xn4EeeY82bA==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""AG Fotocopy"")']"
 Toko Kue Restu,Kue Basah,121,450,1,2010,"['_pengusahadetail(""?pm=hjMR6AwVp0ZzDS2mlhbm/A==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Toko Kue Restu"")']"
 Eky Sport,Toko Sport,"19,9",180,1,2010,"['_pengusahadetail(""?pm=bwAsSzBCrATl63pKSni5Aw==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Eky Sport"")']"
 Bengkel Pely,Bengkel Ban Motor,34,144,1,2010,"['_pengusahadetail(""?pm=82PUI6UbAYjK2WwNIvqDfA==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Bengkel Pely"")']"
