Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick,Sektor,Nama Badan Hukum,Jumlah Tenaga Kerja,Sistem Penjualan,Target Pasar Utama : Produk Masal,Target Pasar Utama : Produk Spesifik,Tingkat Pesaing Usaha,Total Aset,Penjualan Rata-Rata per Tahun,Proyeksi Pertumbuhan Penjualan,Kebutuhan Pembiayaan Kredit ,Nilai Aset yang data menjadi jaminan kredit,Jumlah Dokumen Persyaratan Kredit
Rumah Makan,"238,5",420,5,2008,?pm=Go4K2AM59WrgaRfagz2xxA==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Penyediaan Akomodasi dan Penyediaan Makan Minum,Perorangan,5,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 238,50 Juta","Rp. 420,00 Juta",30 %/Tahun,"Rp. 0,00 Juta","Rp. 208,00 Juta",7
Rumah Makan,205,300,6,2008,?pm=6n9n8k4d8LQSzg4gUWfbTA==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Penyediaan Akomodasi dan Penyediaan Makan Minum,Perorangan,6,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 205,00 Juta","Rp. 300,00 Juta",25 %/Tahun,"Rp. 0,00 Juta","Rp. 190,00 Juta",9
Rumah Makan,"302,5",144,2,2008,?pm=HVV2o54jempyfkfKn8yIgg==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Penyediaan Akomodasi dan Penyediaan Makan Minum,Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 302,50 Juta","Rp. 144,00 Juta",50 %/Tahun,"Rp. 0,00 Juta","Rp. 295,00 Juta",4
Dagang Makanan,"7,5",120,1,2011,?pm=7SNlPe79BdfWkMXpLXcTNA==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Penyediaan Akomodasi dan Penyediaan Makan Minum,Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 7,50 Juta","Rp. 120,00 Juta",10 %/Tahun,"Rp. 5,00 Juta","Rp. 36,00 Juta",4
Warung Makanan,"13,5",30,2,2011,?pm=gNd1Jig7Tt6Zu0XsQqWzXw==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Penyediaan Akomodasi dan Penyediaan Makan Minum,Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 13,50 Juta","Rp. 30,00 Juta",10 %/Tahun,"Rp. 5,00 Juta","Rp. 213,00 Juta",5
Jual Makanan,27,48,0,2011,?pm=t45kop5LZsE2Z/Ms2Dgfug==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Penyediaan Akomodasi dan Penyediaan Makan Minum,Perorangan,0,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 27,00 Juta","Rp. 48,00 Juta",10 %/Tahun,"Rp. 10,00 Juta","Rp. 108,00 Juta",4
Dagang Makanan,23,60,1,2011,?pm=DUtCOhm59mjpSOpq4IAaaA==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Penyediaan Akomodasi dan Penyediaan Makan Minum,Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 23,00 Juta","Rp. 60,00 Juta",5 %/Tahun,"Rp. 10,00 Juta","Rp. 230,00 Juta",4
Dagang Bakso,14,240,1,2010,?pm=BxNeIWQEEWURdpSMdJeJiw==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Penyediaan Akomodasi dan Penyediaan Makan Minum,Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   90,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   10,00 %",Sedang,"Rp. 14,00 Juta","Rp. 240,00 Juta",10 %/Tahun,"Rp. 0,00 Juta","Rp. 166,00 Juta",6
Rumah Makan,"6.074,2","234,6",1,2011,?pm=8vQ24yLfAtkrQg6JLqQJPg==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Penyediaan Akomodasi dan Penyediaan Makan Minum,Perorangan,1,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 6.074,20 Juta","Rp. 234,60 Juta",5 %/Tahun,"Rp. 8,00 Juta","Rp. 168,00 Juta",5
Catering Makanan,115,480,41,2013,?pm=zuuZrfQ8DB3z6wnQvWR3vg==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum,Usaha Dagang (UD),41,Retail,"Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Sedang,"Rp. 115,00 Juta","Rp. 480,00 Juta",2 %/Tahun,"Rp. 10,00 Juta","Rp. 16,00 Juta",4
