Nama Perusahaan/Nama Pengusaha,Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick
 Alfa Laundry,Jasa Laundry,392,32,3,2012,"['_pengusahadetail(""?pm=t+Qzm5BGCc5NqFHFU7z9+Q==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Alfa Laundry"")']"
 Water Clean ,Cuci Kendaraan (Mobil & Motor),529,117,6,2012,"['_pengusahadetail(""?pm=gaLTzI+hGQeyXvC7cUCAKQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Water Clean "")']"
 Tama Tailor Dan Gorden,Penjahit,"16,5",24,1,2011,"['_pengusahadetail(""?pm=zEuhM4CymM/KhZKxn+vDFQ==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Tama Tailor Dan Gorden"")']"
 M & M Laundry,Laundry,"189,5",172,2,2013,"['_pengusahadetail(""?pm=jnFRLh6EZ/6HPH7wbC60Wg==&mp=fOhzApotY5QnAtxxXvjAfA=="",""M & M Laundry"")']"
 Nurma Laundry,Laundy,"2,2","19,2",1,2013,"['_pengusahadetail(""?pm=u9fIupGQEvQlF1ATCxZRtw==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Nurma Laundry"")']"
 Cucui Motor Verdy,Pencucian Motor,42,110,2,2014,"['_pengusahadetail(""?pm=+2cgLJYFNrMulxvjkysDeQ==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Cucui Motor Verdy"")']"
 Cuci Mobil Samping Polsek,Jasa Cuci Mobil,89,36,5,2014,"['_pengusahadetail(""?pm=08GPhp4M60Jgn7jcdInMdA==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Cuci Mobil Samping Polsek"")']"
 Global Elektronic Service,Service Dan Jual Beli Elektronic,"89,8",468,4,2014,"['_pengusahadetail(""?pm=zj8b6uzERja2Q0aL13Zmyw==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Global Elektronic Service"")']"
 Magnetz Salon ,Salon Kecantikan,"66,5",64,2,2011,"['_pengusahadetail(""?pm=nOHcuqH+1bDPTzjOeEpn2g==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Magnetz Salon "")']"
 Penjahit Mandiri Sejahtera,Jahit,"7,5","28,8",1,2011,"['_pengusahadetail(""?pm=3GT4CbmZ1CSsiIH454cdHw==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Penjahit Mandiri Sejahtera"")']"
 Bengkel Angitha,Tambal Ban,633,68,1,2012,"['_pengusahadetail(""?pm=aaYbr2dkkIbo06AMREa4mg==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Bengkel Angitha"")']"
 Laundry Gracia,Laundry,"17,35",75,3,2011,"['_pengusahadetail(""?pm=su8rEiJjtUiMl0l/ExspPw==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Laundry Gracia"")']"
 Penjahit Nuzul,Penjahit,39,"14,7",0,2010,"['_pengusahadetail(""?pm=Efahlsk2hN+AxObKUkQl8Q==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Penjahit Nuzul"")']"
 Penjahit Leman,Penjahit,95,78,2,2010,"['_pengusahadetail(""?pm=NOKK+5WVTcfaoUHFBIf+OQ==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Penjahit Leman"")']"
 AMK Komputer,Pengetikan Dan Foto Copy,16,34,1,2012,"['_pengusahadetail(""?pm=OFHrUL2bxycy/TgMTa3sLA==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""AMK Komputer"")']"
 Yotromoro 2,Vermak Levis,10,26,1,2012,"['_pengusahadetail(""?pm=BpgB4GsWmHzSfTkOj7yfqg==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Yotromoro 2"")']"
 Penjahit Win,Penjahit Pakaian,"176,75",533,2,2010,"['_pengusahadetail(""?pm=hq8tDtwCGwdYHS0J2TXiNw==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Penjahit Win"")']"
 NA,Jasa Laundry,"50,67",60,3,2011,"['_pengusahadetail(""?pm=Uj3+ZsKa3SfZMPXnUPKF8Q==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""NA"")']"
 TAYLOR,Menjahit Pakaian,413,78,1,2012,"['_pengusahadetail(""?pm=eG6O2gs9fts43SGWztT+8Q==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""TAYLOR"")']"
 Pangkas Rambut Saudara,Pangkas Rambut,820,3.776,3,2010,"['_pengusahadetail(""?pm=FxmTTUBmuxOk2w9vC7Zrug==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Pangkas Rambut Saudara"")']"
 Penjahit Andi,Penjahit Pakaian,20,108,0,2009,"['_pengusahadetail(""?pm=NgVOr8D7kcfofnrvIRrPbQ==&mp=2BbfzMJpZb2nANZ3GT30ng=="",""Penjahit Andi"")']"
 A2 Studio,Cuci Cetak Foto,169,600,2,2010,"['_pengusahadetail(""?pm=96joZI+4NpSQQ637JmFAgg==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""A2 Studio"")']"
 Laundryque,Laundry,42,72,2,2013,"['_pengusahadetail(""?pm=NTUKTjKlttix9Zrf6qielg==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Laundryque"")']"
 Penjahit Husin,Penjahit Pakaian,167,60,1,2012,"['_pengusahadetail(""?pm=CWp1H877s2x0eKXzUTnWWQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Penjahit Husin"")']"
 Penjahit Asal Manis,Penjahit Pakaian,34,30,1,2012,"['_pengusahadetail(""?pm=DPRW91tTXB5wiGQhCcx0Pg==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Penjahit Asal Manis"")']"
 Putri Salon,Salon,80,38,0,2010,"['_pengusahadetail(""?pm=bbXxKiGLhWVX5uBZKWt6Fw==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Putri Salon"")']"
 A. Ridwan Tailor,Penjahit,116,72,1,2010,"['_pengusahadetail(""?pm=Y1Yyn/p0jExaF82dseh5tg==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""A. Ridwan Tailor"")']"
 Loundry Aldo,Loundry,64,12,1,2013,"['_pengusahadetail(""?pm=Rn8hVIeG+z9DDCEQqAF/Jw==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Loundry Aldo"")']"
 Tambal Ban Stefan,Tambal Ban Stefan,"58,3",182,3,2013,"['_pengusahadetail(""?pm=ehjQFylEgAezHEOpYKhH5Q==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Tambal Ban Stefan"")']"
 Permak Levis,Jasa Vermak Levis,"14,5","46,5",2,2013,"['_pengusahadetail(""?pm=0XjOVLu7Ce8NKb3GUgsi0A==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Permak Levis"")']"
 Variasi Megasari,Variasi Kendaraan,"82,5",63,2,2013,"['_pengusahadetail(""?pm=EYpht7+7REZN5FETAm0+qg==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Variasi Megasari"")']"
 Nabila Salon,Jasa Salon,23,44,2,2013,"['_pengusahadetail(""?pm=zsghybbA7poFqt52UzG5Og==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Nabila Salon"")']"
 JASA BATAKO,PEMBUAT BATAKO,1.220,4.800,1,2013,"['_pengusahadetail(""?pm=PqnYr0806aMp1JAcAexOeg==&mp=fOhzApotY5QnAtxxXvjAfA=="",""JASA BATAKO"")']"
 Penjahit Arsih,Penjahit,"146,4",54,2,2011,"['_pengusahadetail(""?pm=Q/ljT7WITZrKCL76JXz1Gw==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Penjahit Arsih"")']"
 Penjahit Pria Nasrul,Penjahit Pria,"223,5","172,8",2,2011,"['_pengusahadetail(""?pm=TUpUIPDOtxgF71ieSGSi+Q==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Penjahit Pria Nasrul"")']"
 Salon Ines,Salon Kecantikan,"192,25","101,39",3,2011,"['_pengusahadetail(""?pm=41ZfN1XkXqgHPICYWFtdLA==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Salon Ines"")']"
 Penjahit Labib,Penjahit Pakaian,"14,75",49,2,2012,"['_pengusahadetail(""?pm=s3QZ9avNuAe5xzM1hzYwwA==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Penjahit Labib"")']"
 Aneka Bordir,Bordir,7,46,2,2012,"['_pengusahadetail(""?pm=qDxjlg38E2fkv+de/wccSQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Aneka Bordir"")']"
 Dody Taylor,Penjahit ,13,80,3,2012,"['_pengusahadetail(""?pm=QtelmgFKKQT6k7VcJ/pRRQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Dody Taylor"")']"
 Penjahit Yadi,Penjahit,"9,8","61,5",4,2012,"['_pengusahadetail(""?pm=ozXA4GswcflGOALwn60btw==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Penjahit Yadi"")']"
 Penjahit Niki,Penjahit Pakaian,41,154,6,2012,"['_pengusahadetail(""?pm=ekC6SoGxN1agMpK9aRDaww==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Penjahit Niki"")']"
 Usaha Laundri Areka,Laundri Pakaian,84,328,4,2012,"['_pengusahadetail(""?pm=CPyRsyE09jjah1wQof6nXA==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Usaha Laundri Areka"")']"
 Steam Motor Agung,Steam Motor,"35,17","40,5",2,2013,"['_pengusahadetail(""?pm=R9LzW1sePVw32LbE7DeYYw==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Steam Motor Agung"")']"
 Penjahit Abbas,Jahit Pakaian,"151,92",72,2,2009,"['_pengusahadetail(""?pm=g0QTy1mNW8dzGEzmLKMbOw==&mp=2BbfzMJpZb2nANZ3GT30ng=="",""Penjahit Abbas"")']"
 Sascha Digital Photo Studio,Studio Photo Digital,"87,28",27,2,2011,"['_pengusahadetail(""?pm=X8WRz4h77KPWe5lqDHRqwQ==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Sascha Digital Photo Studio"")']"
 Salon Dewi Ibu Tisna,Jasa Salon dan Asesoris,25,36,1,2008,"['_pengusahadetail(""?pm=/ELrgVCMLyLKCsYBzkbMSQ==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Salon Dewi Ibu Tisna"")']"
 Rista Tailor,Tailor,38,118,3,2012,"['_pengusahadetail(""?pm=IxonlFNyHfWV2wjtbNzCuA==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Rista Tailor"")']"
