Nama Perusahaan/Nama Pengusaha,Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick
 Salshafa Collection,Penyewaan Pakaian Adat,299,"6,25",2,2011,"['_pengusahadetail(""?pm=ahr7SqmtfGtG4t96E+BmbQ==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Salshafa Collection"")']"
 Kos Yuslih,Kos,351,45,2,2014,"['_pengusahadetail(""?pm=fbbxzbFfM/hqF0vQcbbETQ==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Kos Yuslih"")']"
 CV Rouli Jaya Mandiri Tour & Travel,Penjualan Tiket,"18,5",24,3,2014,"['_pengusahadetail(""?pm=9/lAvK+azkPXHdZChPBCyQ==&mp=xI6rAeQkygTAn3Z625IGLg=="",""CV Rouli Jaya Mandiri Tour & Travel"")']"
 Sewa Tenda Mugi Lestari,Jasa Sewa Tenda,205,42,5,2013,"['_pengusahadetail(""?pm=eQnVAGq6njrT2cFHD40qnw==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Sewa Tenda Mugi Lestari"")']"
 Wisma Raffi,Jasa Las,"19,1",210,2,2011,"['_pengusahadetail(""?pm=G9ZBsPElzAaJruOhFmS54g==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Wisma Raffi"")']"
 PAUZI AGEN,AGEN KENDARAAN,5.500,68.000,1,2013,"['_pengusahadetail(""?pm=0+l5bjE5bwnFhaJ12+l+Fw==&mp=fOhzApotY5QnAtxxXvjAfA=="",""PAUZI AGEN"")']"
 RUMAH KONTRAKAN,RUMAH SEWA,1.200,14.000,1,2013,"['_pengusahadetail(""?pm=tkXjvqc0J1cpt3FcqWQjZw==&mp=fOhzApotY5QnAtxxXvjAfA=="",""RUMAH KONTRAKAN"")']"
 KOS KOSAN IBU DIAN,TEMPAT KOST,400,48,1,2012,"['_pengusahadetail(""?pm=fN7+cQv1Ii9/a+l7rWQoJg==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""KOS KOSAN IBU DIAN"")']"
 Prima Taylor,Jasa rental Internet,7,104,2,2008,"['_pengusahadetail(""?pm=q19zn/bgLVgDf9rzGn4+gw==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Prima Taylor"")']"
 Rental Dandy Disc,Rental & Jual Kaset DVD ,"274,7",25,1,2009,"['_pengusahadetail(""?pm=Sh0bQ9pGqXlI1yinfi7xnw==&mp=2BbfzMJpZb2nANZ3GT30ng=="",""Rental Dandy Disc"")']"
 Dewa Rental Playstation,Rental Playstation,660,48,1,2012,"['_pengusahadetail(""?pm=HBsyT9FAM7k5MIcvSzPilQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Dewa Rental Playstation"")']"
 Kos Naura,Kost ,"84,2",42,2,2014,"['_pengusahadetail(""?pm=JvbUWOMEhMRUB8g5OTaYkQ==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Kos Naura"")']"
 PT. Pedoman Travel,Jasa,"510,1","161,46",13,2011,"['_pengusahadetail(""?pm=uIJtVCs4v+Akw3PcTAlD3A==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""PT. Pedoman Travel"")']"
 CV Dimas Pratama Jaya,Ekspedisi,"380,2",288,2,2016,"['_pengusahadetail(""?pm=v4/7lM6HUKBw9tCWXY2w9Q==&mp=5JdvraNzQnzSzI+hC9alEQ=="",""CV Dimas Pratama Jaya"")']"
 Widya Collection,Sewa Baju,"295,5",310,2,2016,"['_pengusahadetail(""?pm=+6kRmD/IV86LxhwR3dBHhg==&mp=5JdvraNzQnzSzI+hC9alEQ=="",""Widya Collection"")']"
 Kontrakan Rifqi,Kontrakan,225,18,1,2016,"['_pengusahadetail(""?pm=Xk8x5hGXUtCi9fHxTm1BuA==&mp=5JdvraNzQnzSzI+hC9alEQ=="",""Kontrakan Rifqi"")']"
