Nama Perusahaan/Nama Pengusaha,Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick
 Kios Harmoni,Rumah Makan,"238,5",420,5,2008,"['_pengusahadetail(""?pm=Go4K2AM59WrgaRfagz2xxA==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Kios Harmoni"")']"
 Pondok Ragey,Rumah Makan,205,300,6,2008,"['_pengusahadetail(""?pm=6n9n8k4d8LQSzg4gUWfbTA==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Pondok Ragey"")']"
 Kedai Jawa,Rumah Makan,"302,5",144,2,2008,"['_pengusahadetail(""?pm=HVV2o54jempyfkfKn8yIgg==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Kedai Jawa"")']"
 Warung Manisan,Dagang Makanan,"7,5",120,1,2011,"['_pengusahadetail(""?pm=7SNlPe79BdfWkMXpLXcTNA==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Warung Manisan"")']"
 Warung Manisan,Warung Makanan,"13,5",30,2,2011,"['_pengusahadetail(""?pm=gNd1Jig7Tt6Zu0XsQqWzXw==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Warung Manisan"")']"
 Warung Manisan,Jual Makanan,27,48,0,2011,"['_pengusahadetail(""?pm=t45kop5LZsE2Z/Ms2Dgfug==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Warung Manisan"")']"
 Warung Manisan Nurhaeti,Dagang Makanan,23,60,1,2011,"['_pengusahadetail(""?pm=DUtCOhm59mjpSOpq4IAaaA==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Warung Manisan Nurhaeti"")']"
 Bakso Bibit,Dagang Bakso,14,240,1,2010,"['_pengusahadetail(""?pm=BxNeIWQEEWURdpSMdJeJiw==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Bakso Bibit"")']"
 Sari Laut 76,Rumah Makan,"6.074,2","234,6",1,2011,"['_pengusahadetail(""?pm=8vQ24yLfAtkrQg6JLqQJPg==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Sari Laut 76"")']"
 UD Nur Lampu,Catering Makanan,115,480,41,2013,"['_pengusahadetail(""?pm=zuuZrfQ8DB3z6wnQvWR3vg==&mp=fOhzApotY5QnAtxxXvjAfA=="",""UD Nur Lampu"")']"
 Pempek Ummu Zafirah,Rumah Makan,6,38,2,2013,"['_pengusahadetail(""?pm=WqkWF4V3qaVK/6Ge8blEsg==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Pempek Ummu Zafirah"")']"
 Kedai Mini Cabang Kediri,Rumah Makan,20,"47,88",2,2013,"['_pengusahadetail(""?pm=S0/dIBKsVQHsDwtrwMNUwg==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Kedai Mini Cabang Kediri"")']"
 Es Dawet,Warung Minum,"2,55",144,1,2013,"['_pengusahadetail(""?pm=1KcQ+yViSCw8EeIn1gcazg==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Es Dawet"")']"
 Mi Ayam Supiran,Rumah Makan,"11,3",180,1,2013,"['_pengusahadetail(""?pm=AcjC/2Dm9kWUmNdy/dGtiQ==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Mi Ayam Supiran"")']"
 Es Kelapa Muda Telaga Sari,Warung Minum,18,144,1,2013,"['_pengusahadetail(""?pm=od+j6uqQoIwNps2XkDClsQ==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Es Kelapa Muda Telaga Sari"")']"
 Toko Trisna Dewi,Warung,"10,5",79,2,2013,"['_pengusahadetail(""?pm=I0k+AOaWUnpPFoKEt1NF+w==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Toko Trisna Dewi"")']"
 Pempek Palembang Cik Noni,Warung Makan,"4,7",240,2,2013,"['_pengusahadetail(""?pm=Ju1lJgjtXf9oubBsE49quw==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Pempek Palembang Cik Noni"")']"
 Roti Bakar Bhayangkara,Camilan,"142,5",108,1,2013,"['_pengusahadetail(""?pm=SZVexC04gjjvAxAB8YSz4w==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Roti Bakar Bhayangkara"")']"
 Gado-gado Bibi Ros,Warung Makan,"2,5",60,1,2013,"['_pengusahadetail(""?pm=kTiKeBGtPOIOpgogFfyFGQ==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Gado-gado Bibi Ros"")']"
 Warung Bu Cek Rum,Camilan,17,"8,4",1,2013,"['_pengusahadetail(""?pm=OoN9nDtOMv3uvwmFLo9tRA==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Warung Bu Cek Rum"")']"
 Jamu Gendong Bu Marni,Minuman,5,48,1,2013,"['_pengusahadetail(""?pm=x8es5d34SoJh0Mi2UD8M4g==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Jamu Gendong Bu Marni"")']"
 Salome Amb,Camilan,"3,75",155,2,2013,"['_pengusahadetail(""?pm=oyPP16bsbSg8KanwMf1H5g==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Salome Amb"")']"
 Warung Kopi Arema,Camilan,13,144,3,2013,"['_pengusahadetail(""?pm=Htkc+1lUIqQ2BzeF9BxfmA==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Warung Kopi Arema"")']"
 Florida Pancake,Camilan,19,24,2,2013,"['_pengusahadetail(""?pm=ZaqKCTPajmRZjRZ5FvU7EQ==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Florida Pancake"")']"
 Salome Melawai,Camilan,6,200,1,2013,"['_pengusahadetail(""?pm=Qj4h5F5N2OBEvrOI3zrg1A==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Salome Melawai"")']"
 Rawon Ayam,Warung Makan,"17,5",360,2,2013,"['_pengusahadetail(""?pm=rxDS7snlFqDyhROeIqeOdA==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Rawon Ayam"")']"
 Warung Faiz Gresik,Warung Makan,"10,5",250,2,2013,"['_pengusahadetail(""?pm=smMPEeeRaIe9HC5rryBa3A==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Warung Faiz Gresik"")']"
 Warung Suroboyo,Warung Makan,"6,5",990,3,2013,"['_pengusahadetail(""?pm=akzvwO1Hf4kboA6BZRg+8g==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Warung Suroboyo"")']"
 Es Kelapa Ragil,Warung Minum,"2,5",108,1,2013,"['_pengusahadetail(""?pm=rJ83E49PkJXcS4rR+DjiMQ==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Es Kelapa Ragil"")']"
 Tahu Kremes,Camilan,23,72,2,2013,"['_pengusahadetail(""?pm=QkdC0cg9rGkMXGbAB3cHDw==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Tahu Kremes"")']"
 Rm. Mbah Broto,Rumah Makan,61,54,4,2013,"['_pengusahadetail(""?pm=65vmG75icI2FXQdLv6R1tQ==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Rm. Mbah Broto"")']"
 Warung Rosdiana,Warung Makan,"0,8","87,6",1,2013,"['_pengusahadetail(""?pm=BV/2MdRA1BKqwArOE0x9gQ==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Warung Rosdiana"")']"
 Sari Kedelai & Kelapa Muda Miji,Warung Minum,"10,3",54,1,2013,"['_pengusahadetail(""?pm=nPTBVfp2jUSWffxnGQgaeg==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Sari Kedelai & Kelapa Muda Miji"")']"
 Bakso Balai Pak Tarno,Warung Makan,10,275,1,2013,"['_pengusahadetail(""?pm=Eo+U+NlT42e2JICp9bG2Yg==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Bakso Balai Pak Tarno"")']"
 Warung Mba Nur,Warung Makan,"17,2",96,1,2013,"['_pengusahadetail(""?pm=Mb0NJ5bjDLZt16qd+chUyQ==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Warung Mba Nur"")']"
 Kerak Telor Betawi,Warung Makan,"6,15",108,1,2013,"['_pengusahadetail(""?pm=4dTnOKZpI0xmWXwa93jvBA==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Kerak Telor Betawi"")']"
 Pukis Sari Rasa,Camilan,6,72,1,2013,"['_pengusahadetail(""?pm=HkfBFhrr3i/7c6/as828bQ==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Pukis Sari Rasa"")']"
 Batagor Ikan 21,Warung Makan,6,168,4,2013,"['_pengusahadetail(""?pm=10dTRGxSgMX4ue/S17F35Q==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Batagor Ikan 21"")']"
 Kacang Goreng Saprah,Camilan,10,"21,67",2,2013,"['_pengusahadetail(""?pm=ufF8Rq7cty1e+QA7ynV0JQ==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Kacang Goreng Saprah"")']"
 Gorengan Strat 1,Camilan,2,"10,8",1,2013,"['_pengusahadetail(""?pm=AhlZkLa4XYdVuPmMUoczZg==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Gorengan Strat 1"")']"
 Sop Buah Kurnia,Warung Minum,20,180,1,2013,"['_pengusahadetail(""?pm=ZMxvDk7Wg5WiI7Q8vOeZBg==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Sop Buah Kurnia"")']"
 RM Dewi Kuat,Warung Makan,149,80,5,2012,"['_pengusahadetail(""?pm=rXeuZNA7fJCKUHbeUfK6yQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""RM Dewi Kuat"")']"
 Mie Ayam Mb Rusinah,Dagang Mie Ayam,"1,9",69,1,2011,"['_pengusahadetail(""?pm=vxTNVUN3uoyNxcJvqP70lw==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Mie Ayam Mb Rusinah"")']"
 Rm. Borobudur,Rumah Makan,361,432,3,2008,"['_pengusahadetail(""?pm=MiH0EiXsFt9ZPFkTtMrJow==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Rm. Borobudur"")']"
 Selera Rasa,Nasi Pecel Lele,59,39,1,2010,"['_pengusahadetail(""?pm=E0Se4Iyc+qvLsXnmhCG9tA==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Selera Rasa"")']"
 Pempek Palembang,Pempek Palembang,578,570,2,2010,"['_pengusahadetail(""?pm=0SbSTSBWncKZ0sVRC6eNoQ==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Pempek Palembang"")']"
 RM Mbak Pur,Makanan,152,"28,5",0,2010,"['_pengusahadetail(""?pm=EA96M5koHuuoXWYmu7TyLg==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""RM Mbak Pur"")']"
 Mie Ayam Gimin,Mie Ayam,"108,5","139,6",0,2010,"['_pengusahadetail(""?pm=xOhZFGXyAAgVnNt1XtQUow==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Mie Ayam Gimin"")']"
 Sate Kerang Kali Bu Hartati,Dagang Sate Kerang,106,596,7,2013,"['_pengusahadetail(""?pm=rBreMIXLJUCNOPLXwstieA==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Sate Kerang Kali Bu Hartati"")']"
 Wr. Simpang Opat Kuaru,Warung Makan,"124,5",252,2,2013,"['_pengusahadetail(""?pm=F8JvPvrr2wd6Jk0uSWw1/g==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Wr. Simpang Opat Kuaru"")']"
 Warung Jawa,Warung Makan,"136,5",252,1,2013,"['_pengusahadetail(""?pm=YRqJc5aeghD+tx4GYMHOIw==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Warung Jawa"")']"
 Jamu Sumariah,Jamu,"2,5",72,1,2013,"['_pengusahadetail(""?pm=tIwzmnfTxzspXmNChKqjXQ==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Jamu Sumariah"")']"
 Cemilan Bazar,Cemilan,"5,9",180,1,2013,"['_pengusahadetail(""?pm=ygILGSpTwiK6ZMUI0tfA/g==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Cemilan Bazar"")']"
 Kerak Telor Pak Budi,Kerak Telor,98,720,1,2013,"['_pengusahadetail(""?pm=ZeOfyw1JjZQsxD6JYFZoKA==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Kerak Telor Pak Budi"")']"
 Bakso Ceker Pak Sutar,Bakso Ceker,4,252,1,2013,"['_pengusahadetail(""?pm=kWzq3l+v4gEuk+0em4c5fg==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Bakso Ceker Pak Sutar"")']"
 Pentolan Arif,Pentolan,"2,5",72,1,2013,"['_pengusahadetail(""?pm=JcC9AvLIlVWkqlGybg28+Q==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Pentolan Arif"")']"
 Pentol Ojolali,Pentol,15,108,1,2013,"['_pengusahadetail(""?pm=bPpImMDW19hprApotJALYg==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Pentol Ojolali"")']"
 Miss Burger - Manacoffee,Burger,"5,6",36,1,2013,"['_pengusahadetail(""?pm=OoovF5q/EXobIbwHGNSNsg==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Miss Burger - Manacoffee"")']"
 Siomay Hokie Bandung,Siomay,5,72,1,2013,"['_pengusahadetail(""?pm=hkqsG36jIYFk8f4AW4MN3A==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Siomay Hokie Bandung"")']"
 Es Bejo,Es Bejo,5,108,1,2013,"['_pengusahadetail(""?pm=U3MzaBe0G2uTJXRA8eXoVA==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Es Bejo"")']"
 Usaha Ikan Asin,Ikan Asin,3,360,1,2013,"['_pengusahadetail(""?pm=RYU3K3McCz8a2rBY3qme2A==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Usaha Ikan Asin"")']"
 Pentol Parjianto,Pentol,"2,1",108,1,2013,"['_pengusahadetail(""?pm=vAM54N3UJkmtj9GRDmeALQ==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Pentol Parjianto"")']"
" Jual Kelapa Dan Drum ""murdi""",Es Kelapa Dan Drum,"7,5",90,1,2013,"['_pengusahadetail(""?pm=a16LALI30Vh25fHq1LqAow==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Jual Kelapa Dan Drum ""murdi"""")']"
 Martabak Suhar,Martabak,"6,8",144,1,2013,"['_pengusahadetail(""?pm=C3bzXaWJGuyuzKizdwuTIA==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Martabak Suhar"")']"
 Pentol Doa Istri Barokah,Pentolan,"5,7",288,1,2013,"['_pengusahadetail(""?pm=lVNWLdoRBSqZynjZDGA93g==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Pentol Doa Istri Barokah"")']"
 Toko Pisang,Buah-buahan,3,90,1,2013,"['_pengusahadetail(""?pm=+EifFqugD15Nevs3gzFPcw==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Toko Pisang"")']"
 Pentol Laras,Pentol,"3,2",72,1,2013,"['_pengusahadetail(""?pm=Tp3IFlCpO6rf1SbK53lmuw==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Pentol Laras"")']"
 Martabak Telur Dan Terang Bulan Umi,Martabak Dan Terang Bulan,"6,7",360,2,2013,"['_pengusahadetail(""?pm=/GLHZIEz3EPkE+leMzr0Xw==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Martabak Telur Dan Terang Bulan Umi"")']"
 Nasi Uduk Pecenongan,Warung Nasi Uduk,22,254,8,2011,"['_pengusahadetail(""?pm=FBDWhUq2um4la9+/pF3WSg==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Nasi Uduk Pecenongan"")']"
 USAHA MIE PANGSIT,MIE PANGSIT,9,456,4,2012,"['_pengusahadetail(""?pm=u18iOVG/hKgvB6Zqq8ZQOA==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""USAHA MIE PANGSIT"")']"
 HERI CAFFE,Makanan/Minuman,6,162,2,2012,"['_pengusahadetail(""?pm=TJ2VljUno/pWSPqw5mA89w==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""HERI CAFFE"")']"
 WARUNG BAKSO,Bakso,4,192,3,2012,"['_pengusahadetail(""?pm=vp8fLGim29NsbMmpNNhcvw==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""WARUNG BAKSO"")']"
 Leni Herlina,Pembutan Nasi kuning,"4,4",99,2,2008,"['_pengusahadetail(""?pm=SwotiOb6A0T4VlKta1vOWQ==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Leni Herlina"")']"
 Soto Kuin Idah,Pembutan Soto,"32,05",95,3,2008,"['_pengusahadetail(""?pm=MKc88apMK6RDiRqfDRFWXg==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Soto Kuin Idah"")']"
 Wardiatul Azizah,Pembutan Ikan Bakar,"5,75",72,1,2008,"['_pengusahadetail(""?pm=pt+GjenCz9QkO2N42VzhWw==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Wardiatul Azizah"")']"
 Juraidah,Pembutan Ikan Bakar,"4,3",162,1,2008,"['_pengusahadetail(""?pm=7KdU4vRsonhO/AqxExaezw==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Juraidah"")']"
 Qomariah,Pembutan Bubur,"1,56",66,2,2008,"['_pengusahadetail(""?pm=3z6U5hkP1ZGPHFNbuC1lkg==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Qomariah"")']"
 Kios Emi,Rumah Makan,3,180,1,2008,"['_pengusahadetail(""?pm=nRoIvpmaSrf9riZJxd3J2g==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Kios Emi"")']"
 Kios Fatimah,Rumah Makan,"4,5",109,1,2008,"['_pengusahadetail(""?pm=GuKXNAhnRO9BGJX/BTLMRA==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Kios Fatimah"")']"
 Kios Fauzi,Rumah Makan,"4,5",109,1,2008,"['_pengusahadetail(""?pm=z++ovf8eFcsQXifNEYBmKA==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Kios Fauzi"")']"
 Rumah Makan Anugerah,Rumah Makan,"117,68",363,3,2013,"['_pengusahadetail(""?pm=dcJDvNaSX2PQb2vpUieLgg==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Rumah Makan Anugerah"")']"
 Es Teler Pak Midori,Es Teler Durian,"55,6",240,1,2013,"['_pengusahadetail(""?pm=uyUnGqUWjMDjMVgCxFGyHQ==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Es Teler Pak Midori"")']"
 Warung Sadayana Raos,Rumah Makan,33,420,4,2013,"['_pengusahadetail(""?pm=9CVKV/b9hTpe4DGztwDDJw==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Warung Sadayana Raos"")']"
 Pondok Es Teler Shinten Rhemen,Warung Minuman,7,144,1,2013,"['_pengusahadetail(""?pm=OCuUJ+HJnEg16RKm2uPfoQ==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Pondok Es Teler Shinten Rhemen"")']"
 Tahu Tek-tek Panin Tower,Warung Makan,"17,5",360,1,2013,"['_pengusahadetail(""?pm=egIS+Hjdb6DdDBmB/hdDig==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Tahu Tek-tek Panin Tower"")']"
 Tahu Baxo,Warung Makanan,32,324,2,2013,"['_pengusahadetail(""?pm=qpMr8u5FCos0JxOzz2YRYQ==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Tahu Baxo"")']"
 Warung Makan Sudi Mampir,Rumah Makan,"9,5",108,1,2013,"['_pengusahadetail(""?pm=TsxQK7t/Y0xbu+9xzPVixA==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Warung Makan Sudi Mampir"")']"
 Es Klamono 85 Cabang 1,Rumah Makan,25,"64,8",1,2013,"['_pengusahadetail(""?pm=wFmhTCBjuI5NIc+wPjJaoQ==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Es Klamono 85 Cabang 1"")']"
 Warung Blitar,Rumah Makan,"68,5",60,6,2013,"['_pengusahadetail(""?pm=pBGNFzmHVkg1WcLzha1YkQ==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Warung Blitar"")']"
 Rumah Makan Moro Seneng,Rumah Makan ,"183,3","586,6",6,2011,"['_pengusahadetail(""?pm=+LU5ZTwHFf6TtpuhXQ3NYw==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Rumah Makan Moro Seneng"")']"
 Toko Hati Riang,Pedagang Makanan Dan Minuman,34,51,1,2012,"['_pengusahadetail(""?pm=3rzu0T/naj+olfDF71ErOw==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Toko Hati Riang"")']"
 Warung Makan Sederhana,Jual Nasi Uduk,86,28,2,2010,"['_pengusahadetail(""?pm=UBPQEWNi4KpE4UfNImD51g==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Warung Makan Sederhana"")']"
 Warung Bakso,Bakso,"8,5",164,0,2010,"['_pengusahadetail(""?pm=mw1vXZ4Z5cMub4uXVHrDcA==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Warung Bakso"")']"
 Mulia Raso,Warung Makan,0,0,2,2012,"['_pengusahadetail(""?pm=jwiz2jS9K1OnOkb6BLH4ng==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Mulia Raso"")']"
 Rumput Laut SMP 6,Rumput Laut,0,0,2,2012,"['_pengusahadetail(""?pm=8JunWSa5PehImIq/4Bb3mQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Rumput Laut SMP 6"")']"
 Warung Den Bagus,Rumah Makan,115,360,4,2012,"['_pengusahadetail(""?pm=HyUO141HMzAgi7w86DqVdg==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Warung Den Bagus"")']"
 Warung Babi Guling Pakerisan,Rumah Makan,515,525,10,2008,"['_pengusahadetail(""?pm=T+prfWeLsdGTdhyC/3NgxA==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Warung Babi Guling Pakerisan"")']"
 Warung Makan Nasem,Warung Makan Matang,21,177,2,2011,"['_pengusahadetail(""?pm=KgoYmc4sqV7XNqTOT0sfNQ==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Warung Makan Nasem"")']"
 Warteg Danirizka,Rumah Makan Tegal,29,21,4,2008,"['_pengusahadetail(""?pm=tdZSygIArJ6fY6SW/MnI/A==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Warteg Danirizka"")']"
 Kantin Rezeki,Dagang Makanan dan Minuman,61,51,4,2008,"['_pengusahadetail(""?pm=NPLiY2Z6R12TyjY2JPUFUQ==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Kantin Rezeki"")']"
 Rumah Makan Pondok Salero,Dagang Makanan dan Minuman,32,180,5,2008,"['_pengusahadetail(""?pm=4t+Hi9xc7/dvudDk4u245w==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Rumah Makan Pondok Salero"")']"
 Warung Lamongan Asli 2,Rumah makan soto Lamongan,15,210,3,2008,"['_pengusahadetail(""?pm=b9tAutsxCcIRFBrWlQrdpA==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Warung Lamongan Asli 2"")']"
 Mie Ayam Yamin,Dagang mie ayam bakso,"15,5","105,6",1,2008,"['_pengusahadetail(""?pm=oQ36e6i2appwyos9mAc2kQ==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Mie Ayam Yamin"")']"
