Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick,Sektor,Nama Badan Hukum,Jumlah Tenaga Kerja,Sistem Penjualan,Target Pasar Utama : Produk Masal,Target Pasar Utama : Produk Spesifik,Tingkat Pesaing Usaha,Total Aset,Penjualan Rata-Rata per Tahun,Proyeksi Pertumbuhan Penjualan,Kebutuhan Pembiayaan Kredit ,Nilai Aset yang data menjadi jaminan kredit,Jumlah Dokumen Persyaratan Kredit
Jasa Laundry,392,32,3,2012,?pm=t+Qzm5BGCc5NqFHFU7z9+Q==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Kegiatan Jasa Lainnya,Perorangan,3,Retail,"Tidak Ada   0,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %",Rendah,"Rp. 392,00 Juta","Rp. 32,00 Juta",15 %/Tahun,"Rp. 0,00 Juta","Rp. 217,00 Juta",6
Cuci Kendaraan (Mobil & Motor),529,117,6,2012,?pm=gaLTzI+hGQeyXvC7cUCAKQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Kegiatan Jasa Lainnya,Perorangan,6,Retail,"Tidak Ada   0,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %",Rendah,"Rp. 529,00 Juta","Rp. 117,00 Juta",30 %/Tahun,"Rp. 0,00 Juta","Rp. 5.217,00 Juta",9
Penjahit,"16,5",24,1,2011,?pm=zEuhM4CymM/KhZKxn+vDFQ==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Kegiatan Jasa Lainnya,Perorangan,1,Retail,"Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Sedang,"Rp. 16,50 Juta","Rp. 24,00 Juta",10 %/Tahun,"Rp. 5,00 Juta","Rp. 35,00 Juta",5
Laundry,"189,5",172,2,2013,?pm=jnFRLh6EZ/6HPH7wbC60Wg==&mp=fOhzApotY5QnAtxxXvjAfA==,Kegiatan Jasa Lainnya,Perorangan,2,Retail,"Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Sedang,"Rp. 189,50 Juta","Rp. 172,00 Juta",10 %/Tahun,"Rp. 5,00 Juta","Rp. 11,00 Juta",5
Laundy,"2,2","19,2",1,2013,?pm=u9fIupGQEvQlF1ATCxZRtw==&mp=fOhzApotY5QnAtxxXvjAfA==,Kegiatan Jasa Lainnya,Perorangan,1,Retail,"Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Sedang,"Rp. 2,20 Juta","Rp. 19,20 Juta",10 %/Tahun,"Rp. 5,00 Juta","Rp. 10,00 Juta",5
Pencucian Motor,42,110,2,2014,?pm=+2cgLJYFNrMulxvjkysDeQ==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya,Perorangan,2,Retail,"Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Sedang,"Rp. 42,00 Juta","Rp. 110,00 Juta",- %/Tahun,"Rp. 5,00 Juta","Rp. 20,00 Juta",3
Jasa Cuci Mobil,89,36,5,2014,?pm=08GPhp4M60Jgn7jcdInMdA==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya,Perorangan,5,Retail,"Tidak Ada   0,00 %","Memenuhi Order Dari Distributor/Eksportir/Trader   100,00 %",Sedang,"Rp. 89,00 Juta","Rp. 36,00 Juta",- %/Tahun,"Rp. 5,00 Juta","Rp. 30,00 Juta",4
Service Dan Jual Beli Elektronic,"89,8",468,4,2014,?pm=zj8b6uzERja2Q0aL13Zmyw==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya,Perorangan,4,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 89,80 Juta","Rp. 468,00 Juta",- %/Tahun,"Rp. 0,00 Juta","Rp. 219,00 Juta",7
Salon Kecantikan,"66,5",64,2,2011,?pm=nOHcuqH+1bDPTzjOeEpn2g==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Kegiatan Jasa Lainnya,Perorangan,2,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Tinggi,"Rp. 66,50 Juta","Rp. 64,00 Juta",50 %/Tahun,"Rp. 10,00 Juta","Rp. 15,00 Juta",5
Jahit,"7,5","28,8",1,2011,?pm=3GT4CbmZ1CSsiIH454cdHw==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Kegiatan Jasa Lainnya,Perorangan,1,Retail,"Tidak Ada   0,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %",Sedang,"Rp. 7,50 Juta","Rp. 28,80 Juta",10 %/Tahun,"Rp. 9,00 Juta","Rp. 10,00 Juta",5
